PLAYER_NAME,TEAM_NAME
JaMychal Green,Memphis Grizzlies
Aron Baynes,Detroit Pistons
Nerlens Noel,Philadelphia 76ers
Alex Len,Phoenix Suns
Allen Crabbe,Portland Trail Blazers
Andre Roberson,Oklahoma City Thunder
Anthony Bennett,Toronto Raptors
Archie Goodwin,Phoenix Suns
Ben McLemore,Sacramento Kings
CJ McCollum,Portland Trail Blazers
Cody Zeller,Charlotte Hornets
Dennis Schroder,Atlanta Hawks
Dewayne Dedmon,Orlando Magic
Erick Green,Denver Nuggets
Gorgui Dieng,Minnesota Timberwolves
Isaiah Canaan,Philadelphia 76ers
Jeff Withey,Utah Jazz
Kelly Olynyk,Boston Celtics
Kentavious Caldwell-Pope,Detroit Pistons
Lorenzo Brown,Phoenix Suns
Mason Plumlee,Portland Trail Blazers
Michael Carter-Williams,Milwaukee Bucks
Mike Muscala,Atlanta Hawks
Otto Porter Jr.,Washington Wizards
Ray McCallum,San Antonio Spurs
Reggie Bullock,Detroit Pistons
Robert Covington,Philadelphia 76ers
Rudy Gobert,Utah Jazz
Shabazz Muhammad,Minnesota Timberwolves
Shane Larkin,Brooklyn Nets
Steven Adams,Oklahoma City Thunder
Tim Hardaway Jr.,Atlanta Hawks
Tony Snell,Chicago Bulls
Trey Burke,Utah Jazz
Victor Oladipo,Orlando Magic
Giannis Antetokounmpo,Milwaukee Bucks
Sergey Karasev,Brooklyn Nets
Lucas Nogueira,Toronto Raptors
Phil Pressey,Philadelphia 76ers
James Ennis III,Memphis Grizzlies
Matthew Dellavedova,Cleveland Cavaliers
Solomon Hill,Indiana Pacers
Raul Neto,Utah Jazz
Ryan Kelly,Los Angeles Lakers
Joffrey Lauvergne,Denver Nuggets
Ian Clark,Golden State Warriors
Seth Curry,Sacramento Kings
Troy Daniels,Charlotte Hornets
Jonathon Simmons,San Antonio Spurs
PJ Hairston,Charlotte Hornets
Russ Smith,Memphis Grizzlies
Shabazz Napier,Orlando Magic
Zach LaVine,Minnesota Timberwolves
Tyler Ennis,Milwaukee Bucks
Markel Brown,Brooklyn Nets
Elfrid Payton,Orlando Magic
Jordan Clarkson,Los Angeles Lakers
Devyn Marble,Orlando Magic
KJ McDaniels,Houston Rockets
CJ Wilcox,LA Clippers
Gary Harris,Denver Nuggets
Spencer Dinwiddie,Detroit Pistons
Nik Stauskas,Philadelphia 76ers
Rodney Hood,Utah Jazz
Jordan Adams,Memphis Grizzlies
Cleanthony Early,New York Knicks
Glenn Robinson III,Indiana Pacers
James Young,Boston Celtics
Jerami Grant,Philadelphia 76ers
Joe Harris,Cleveland Cavaliers
Doug McDermott,Chicago Bulls
Cory Jefferson,Phoenix Suns
Sean Kilpatrick,Denver Nuggets
Aaron Gordon,Orlando Magic
TJ Warren,Phoenix Suns
Lamar Patterson,Atlanta Hawks
Marcus Smart,Boston Celtics
Kyle Anderson,San Antonio Spurs
Dwight Powell,Dallas Mavericks
Adreian Payne,Minnesota Timberwolves
Noah Vonleh,Portland Trail Blazers
Julius Randle,Los Angeles Lakers
Cameron Bairstow,Chicago Bulls
Johnny O'Bryant III,Milwaukee Bucks
James Michael McAdoo,Golden State Warriors
Jarnell Stokes,Miami Heat
Keith Appling,Orlando Magic
Andrew Wiggins,Minnesota Timberwolves
Jabari Parker,Milwaukee Bucks
Bryce Cotton,Phoenix Suns
Mitch McGary,Oklahoma City Thunder
JaKarr Sampson,Philadelphia 76ers
Eric Moreland,Sacramento Kings
Shayne Whittington,Indiana Pacers
Clint Capela,Houston Rockets
Jusuf Nurkic,Denver Nuggets
Damien Inglis,Milwaukee Bucks
Bruno Caboclo,Toronto Raptors
Nikola Jokic,Denver Nuggets
Kristaps Porzingis,New York Knicks
Edy Tavares,Atlanta Hawks
Damjan Rudez,Minnesota Timberwolves
Tyler Johnson,Miami Heat
Tim Frazier,Portland Trail Blazers
